EmployeeID,DateOfHire,Department,JobProfile,JobType,JobTitle,Salary,MidpointWage,PerformanceGrade
2008161,01/08/2020,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1566,1800,2.85
2212081,11/12/2022,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1566,1800,3.28
1707102,14/07/2017,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1566,1800,2.85
2302202,08/02/2023,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1566,1800,3.69
1909081,02/09/2019,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1566,1800,3.28
1403151,15/03/2014,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1566,1800,3.33
1701031,03/01/2017,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1566,1800,3
200202,12/02/2020,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1566,1800,3.52
1604171,10/04/2016,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1584,1800,1.85
2305072,22/05/2023,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1584,1800,3.52
1908091,05/08/2019,Corporate,Individual Contributor,1. Entry Level,Accounting Associate I,1584,1800,2.95
1707011,04/07/2017,Corporate,Individual Contributor,1. Entry Level,Accounting Associate I,1584,1800,2.95
1712161,07/12/2017,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1584,1800,1.85
1401053,25/01/2014,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1584,1800,2.77
2108091,25/08/2021,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1602,1800,3
2102041,11/02/2021,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1602,1800,2.77
2209061,15/09/2022,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1602,1800,2.93
1504092,04/04/2015,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1602,1800,3.52
2106051,17/06/2021,Corporate,Individual Contributor,1. Entry Level,Accounting Associate I,1602,1800,2.95
2101072,22/01/2021,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1602,1800,4
1605032,14/05/2016,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1620,1800,4
1608072,11/08/2016,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1620,1800,3.28
2309091,06/09/2023,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1620,1800,3.52
1706131,14/06/2017,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1638,1800,2.93
1706091,10/06/2017,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1638,1800,3.69
1511091,17/11/2015,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1638,1800,2.85
2102011,17/02/2021,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1638,1800,2.85
